clinic_id,35_fresh_totcycles,35_fresh_preg,35_fresh_birth,35_fresh_rank,37_fresh_totcycles,37_fresh_preg,37_fresh_birth,37_fresh_rank,40_fresh_totcycles,40_fresh_preg,40_fresh_birth,40_fresh_rank,42_fresh_totcycles,42_fresh_preg,42_fresh_birth,42_fresh_rank,44_fresh_totcycles,44_fresh_preg,44_fresh_birth,44_fresh_rank,35_frozen_transfers,35_frozen_birth,35_frozen_rank,37_frozen_transfers,37_frozen_birth,37_frozen_rank,40_frozen_transfers,40_frozen_birth,40_frozen_rank,42_frozen_transfers,42_frozen_birth,42_frozen_rank,44_frozen_transfers,44_frozen_birth,44_frozen_rank,doner_transfers,doner_births,doner_rank
2.00,139.00,0.45,0.37,338.30,89.00,0.40,0.34,270.90,70.00,0.30,0.19,185.80,23.00,0.17,0.13,23.74,9.00,0.00,0.00,9.00,54.00,0.24,102.20,13.00,0.30,73.00,9.00,0.11,31.00,8.00,0.25,58.00,0.00,,0.00,27.00,0.26,78.80
3.00,60.00,0.32,0.18,178.30,25.00,0.24,0.16,121.00,18.00,0.30,0.00,78.83,3.00,0.33,0.33,4.67,1.00,0.00,0.00,1.00,2.00,0.00,2.00,2.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.01,3.00
4.00,44.00,0.59,0.52,319.10,21.00,0.67,0.57,325.70,16.00,0.30,0.00,76.94,4.00,0.00,0.00,4.00,1.00,0.00,0.00,1.00,6.00,0.01,7.00,2.00,0.50,102.00,3.00,0.66,135.00,0.00,0.00,0.00,0.00,,0.00,3.00,0.66,135.00
5.00,56.00,0.41,0.41,261.50,18.00,0.40,0.40,218.00,15.00,0.20,0.00,55.60,4.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,6.00,0.83,172.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,5.00,0.01,7.00
6.00,230.00,0.55,0.47,479.10,109.00,0.42,0.29,281.60,119.00,0.24,0.17,216.40,31.00,0.16,0.13,31.71,18.00,0.00,0.00,18.00,69.00,0.42,153.00,34.00,0.44,122.20,24.00,0.00,24.00,8.00,0.50,108.00,5.00,0.00,5.00,35.00,0.40,115.00
7.00,44.00,0.39,0.34,223.50,15.00,0.40,0.40,215.00,9.00,0.40,0.00,90.33,6.00,0.20,0.17,6.90,2.00,0.00,0.00,2.00,18.00,0.28,74.00,3.00,0.33,69.00,2.00,0.00,2.00,0.00,0.00,0.00,2.00,0.00,2.00,14.00,0.64,142.00
8.00,10.00,0.60,0.40,250.00,3.00,0.70,0.30,233.00,7.00,0.60,0.00,127.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.50,106.00,5.00,0.40,85.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,5.00,0.60,125.00
9.00,36.00,0.33,0.31,194.40,16.00,0.01,0.60,197.25,20.00,0.30,0.25,155.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.40,90.00,3.00,0.66,135.00,4.00,0.25,54.00,0.00,0.00,0.00,0.00,,0.00,1.00,0.01,3.00
10.00,119.00,0.63,0.53,403.70,64.00,0.47,0.36,265.50,70.00,0.30,0.24,202.90,36.00,0.19,0.06,36.56,11.00,0.00,0.00,11.00,25.00,0.44,113.00,13.00,0.23,59.00,15.00,0.33,81.00,5.00,0.60,125.00,3.00,0.00,3.00,17.00,0.35,87.00
11.00,12.00,0.80,0.67,372.00,5.00,0.40,0.40,205.00,8.00,0.60,0.01,129.88,3.00,0.70,0.30,5.30,1.00,0.00,0.00,1.00,6.00,0.50,106.00,8.00,0.12,32.00,4.00,0.00,4.00,2.00,0.00,2.00,0.00,,0.00,1.00,0.00,1.00
12.00,10.00,0.10,0.10,60.00,4.00,0.00,0.00,4.00,4.00,0.00,0.00,4.00,3.00,0.00,0.00,3.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,2.00,0.00,2.00,0.00,0.00,0.00,0.00,,0.00,1.00,0.00,1.00
13.00,136.00,0.40,0.33,314.70,105.00,0.29,0.26,239.30,82.00,0.23,0.16,176.10,42.00,0.17,0.12,42.69,12.00,0.00,0.00,12.00,19.00,0.42,103.00,28.00,0.14,56.00,7.00,0.14,35.00,8.00,0.13,33.00,0.00,,0.00,28.00,0.46,120.80
14.00,55.00,0.47,0.36,258.80,18.00,0.30,0.30,168.00,8.00,0.30,0.00,68.75,5.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,16.00,0.50,116.00,6.00,0.33,72.00,5.00,0.20,45.00,1.00,0.00,1.00,0.00,,0.00,11.00,0.55,121.00
